,자치구,연번,시장명,주소,"건물형
(연면적)","점포수
(빈점포제외)"
,영등포구,11,영일시장,"영등포구 문래동30길 27
(문래동3가 10)","11,934",326
,영등포구,12,영등포유통상가,"영등포구 영등포로 109
(당산동2가 30-2)","75,575","1,287"
,영등포구,13,대림중앙시장,"영등포구 디지털로49길 13-1
(대림동 1075-47)","2,974",83
,영등포구,14,영진시장A동,"영등포구 신풍로 87
(신길동 2365)","3,348",66
,영등포구,15,영등포전통시장,"영등포구 영중로14길 27
(영등포동2가 335)","9,800",370
,영등포구,16,제일상가,"영등포구 영등포로 225       
(영등포동5가 18)","1,685",51
,영등포구,17,영등포청과시장,"영등포구 영신로41길 2
(당산동1가 184)","19,800",250
,영등포구,18,로타리상가,"영등포구 영등포로 219         
(영등포동5가 20)","5,164",93
,영등포구,19,남서울상가,"영등포구 영중로14길 11              
(영등포동5가 16())","8,580",56
,영등포구,20,우리시장,"영등포구 도림로64길 20
(대림동 904-20)","3,800",100
,영등포구,21,양평시장,"영등포구 선유로5 3길 7        
(양평동4가 161)","1,320",25
,영등포구,22,영등포시장지하도상점가,"영등포구 영등포로 219            
(영등포동5가 20)","3,637",78
,영등포구,23,영등포역지하도상점가,"영등포구 경인로 지하 843
(영등포동3가 33)","4,678",80
,영등포구,24,영등포로타리지하도상점가,영등포구 영등포동3가 441,"6,325",133
,영등포구,25,영등포시장기계공구상가,"영등포구 영중로14길 48
(영등포동2가 167-1)","41,693",369
,동작구,계,16,,,"1,066"
,동작구,1,영도시장,"동작구 장승배기로10길 26
(동작구 상도2동 176)","4,290",60
,동작구,2,사당시장,"동작구 사당로 244 사당시장 
(사당4동 318-8)","3,843",14
,동작구,3,강남시장,"동작구 상도로 357 아파트 
(상도동 488)","2,323",16
,동작구,4,성대시장,"동작구 상도로 102 성대시장 
(상도동 324-1)","6,267",56
,동작구,5,본동인정시장,"동작구 매봉로 177 
(본동 187-1외 66필지)","7,163",82
,동작구,6,신노량진시장,"동작구 장승배기로 123-6 
(노량진동 307-9)","3,512",25
,동작구,7,노량진중앙시장,"동작구 만양로16길 9
(노량진동 119-153","2,320",27
,동작구,8,남성시장,"동작구 동작대로 129
(사당동 86-9외)","13,000",140
,동작구,9,성대전통시장,국사봉1길 41 일원,"7,109",84
,동작구,10,흑석시장,동작구 서달로12길 19,"5,051",66
,동작구,11,남성역골목시장,"동작구 사당로16가길 19                
(사당동 267-16)","9,021",77
,동작구,12,상도전통시장,"동작구 상도로37길64 일원
(동작구 상도1동467-5~360-3)",,73
